datetime,stock,date,mid,bid,ask,trade_price,size,side,spread,dollar_volume
2024-01-15 09:30:00.000000,AAPL,2024-01-15,185.0135,185.0075,185.0195,185.0195,285,1,0.012,52730.56
2024-01-15 09:30:01.000042,AAPL,2024-01-15,185.0098,185.0038,185.0158,185.0038,232,-1,0.012,42920.88
2024-01-15 09:30:02.000085,AAPL,2024-01-15,185.0272,185.0212,185.0332,185.0212,821,-1,0.0119,151902.44
2024-01-15 09:30:03.000128,AAPL,2024-01-15,185.0681,185.0621,185.0741,185.0621,1586,-1,0.0119,293508.56
2024-01-15 09:30:04.000170,AAPL,2024-01-15,185.0618,185.0559,185.0678,185.0678,301,1,0.0119,55705.4
2024-01-15 09:30:05.000213,AAPL,2024-01-15,185.0556,185.0496,185.0615,185.0615,1975,1,0.0119,365496.5
2024-01-15 09:30:06.000256,AAPL,2024-01-15,185.0977,185.0918,185.1037,185.0918,182,-1,0.0119,33686.7
2024-01-15 09:30:07.000299,AAPL,2024-01-15,185.1182,185.1122,185.1241,185.1122,227,-1,0.0119,42020.48
2024-01-15 09:30:08.000341,AAPL,2024-01-15,185.1057,185.0998,185.1116,185.0998,488,-1,0.0119,90328.68
2024-01-15 09:30:09.000384,AAPL,2024-01-15,185.1201,185.1142,185.126,185.126,148,1,0.0119,27398.65
2024-01-15 09:30:10.000427,AAPL,2024-01-15,185.1078,185.1019,185.1137,185.1019,483,-1,0.0119,89404.21
2024-01-15 09:30:11.000470,AAPL,2024-01-15,185.0955,185.0895,185.1014,185.0895,188,-1,0.0118,34796.83
2024-01-15 09:30:12.000512,AAPL,2024-01-15,185.1019,185.0959,185.1078,185.1078,142,1,0.0118,26285.31
2024-01-15 09:30:13.000555,AAPL,2024-01-15,185.0513,185.0453,185.0572,185.0453,142,-1,0.0118,26276.44
2024-01-15 09:30:14.000598,AAPL,2024-01-15,185.0057,184.9998,185.0116,185.0116,219,1,0.0118,40517.54
2024-01-15 09:30:15.000641,AAPL,2024-01-15,184.9908,184.9849,184.9967,184.9967,398,1,0.0118,73628.7
2024-01-15 09:30:16.000683,AAPL,2024-01-15,184.9641,184.9582,184.97,184.97,142,1,0.0118,26265.74
2024-01-15 09:30:17.000726,AAPL,2024-01-15,184.9724,184.9665,184.9783,184.9783,328,1,0.0118,60672.88
2024-01-15 09:30:18.000769,AAPL,2024-01-15,184.9485,184.9426,184.9544,184.9426,329,-1,0.0118,60846.12
2024-01-15 09:30:19.000812,AAPL,2024-01-15,184.9114,184.9055,184.9173,184.9055,248,-1,0.0118,45856.56
2024-01-15 09:30:20.000854,AAPL,2024-01-15,184.9499,184.944,184.9558,184.9558,142,1,0.0118,26263.72
2024-01-15 09:30:21.000897,AAPL,2024-01-15,184.9439,184.9381,184.9498,184.9498,345,1,0.0118,63807.69
2024-01-15 09:30:22.000940,AAPL,2024-01-15,184.9457,184.9398,184.9516,184.9398,253,-1,0.0118,46789.78
2024-01-15 09:30:23.000982,AAPL,2024-01-15,184.9084,184.9025,184.9143,184.9025,624,-1,0.0118,115379.16
2024-01-15 09:30:24.001025,AAPL,2024-01-15,184.8941,184.8882,184.9,184.8882,142,-1,0.0118,26254.13
2024-01-15 09:30:25.001068,AAPL,2024-01-15,184.897,184.8911,184.9029,184.9029,312,1,0.0118,57689.71
2024-01-15 09:30:26.001111,AAPL,2024-01-15,184.8669,184.8611,184.8728,184.8611,142,-1,0.0118,26250.27
2024-01-15 09:30:27.001153,AAPL,2024-01-15,184.8768,184.8709,184.8826,184.8709,235,-1,0.0118,43444.66
2024-01-15 09:30:28.001196,AAPL,2024-01-15,184.8611,184.8552,184.867,184.867,142,1,0.0118,26251.11
2024-01-15 09:30:29.001239,AAPL,2024-01-15,184.8535,184.8476,184.8594,184.8476,142,-1,0.0118,26248.36
2024-01-15 09:30:30.001282,AAPL,2024-01-15,184.8378,184.8319,184.8437,184.8319,283,-1,0.0117,52307.43
2024-01-15 09:30:31.001324,AAPL,2024-01-15,184.886,184.8802,184.8919,184.8802,181,-1,0.0117,33463.31
2024-01-15 09:30:32.001367,AAPL,2024-01-15,184.8857,184.8798,184.8915,184.8798,920,-1,0.0117,170089.43
2024-01-15 09:30:33.001410,AAPL,2024-01-15,184.8582,184.8523,184.864,184.8523,731,-1,0.0117,135127.04
2024-01-15 09:30:34.001453,AAPL,2024-01-15,184.8795,184.8737,184.8854,184.8854,541,1,0.0117,100023.01
2024-01-15 09:30:35.001495,AAPL,2024-01-15,184.8478,184.842,184.8537,184.842,533,-1,0.0117,98520.78
2024-01-15 09:30:36.001538,AAPL,2024-01-15,184.8533,184.8474,184.8591,184.8474,314,-1,0.0117,58042.09
2024-01-15 09:30:37.001581,AAPL,2024-01-15,184.8024,184.7966,184.8083,184.8083,809,1,0.0117,149509.92
2024-01-15 09:30:38.001624,AAPL,2024-01-15,184.768,184.7622,184.7739,184.7622,225,-1,0.0117,41571.49
2024-01-15 09:30:39.001666,AAPL,2024-01-15,184.7731,184.7673,184.779,184.7673,1551,-1,0.0117,286574.04
2024-01-15 09:30:40.001709,AAPL,2024-01-15,184.7922,184.7864,184.7981,184.7981,142,1,0.0117,26241.33
2024-01-15 09:30:41.001752,AAPL,2024-01-15,184.7967,184.7908,184.8025,184.7908,142,-1,0.0117,26240.3
2024-01-15 09:30:42.001794,AAPL,2024-01-15,184.7937,184.7878,184.7995,184.7995,142,1,0.0117,26241.53
2024-01-15 09:30:43.001837,AAPL,2024-01-15,184.7859,184.7801,184.7918,184.7801,142,-1,0.0117,26238.77
2024-01-15 09:30:44.001880,AAPL,2024-01-15,184.7477,184.7419,184.7536,184.7536,142,1,0.0117,26235.01
2024-01-15 09:30:45.001923,AAPL,2024-01-15,184.7292,184.7233,184.735,184.7233,337,-1,0.0117,62251.76
2024-01-15 09:30:46.001965,AAPL,2024-01-15,184.7173,184.7114,184.7231,184.7231,562,1,0.0117,103814.4
2024-01-15 09:30:47.002008,AAPL,2024-01-15,184.7445,184.7387,184.7504,184.7387,291,-1,0.0117,53758.96
2024-01-15 09:30:48.002051,AAPL,2024-01-15,184.7534,184.7475,184.7592,184.7475,142,-1,0.0117,26234.15
2024-01-15 09:30:49.002094,AAPL,2024-01-15,184.708,184.7022,184.7138,184.7138,195,1,0.0117,36019.2
